title,name,location,time,verified,review,aircraft_model,traveller_type,seat_type,route,date_flown,overal_rating,Seat_comfort_rating,cabin_staff,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
,,Germany,2025-07-04,True,Economy Class,Boeing 789,Solo Leisure,Economy Class,,July 2025,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,3,3,5,3,0
,,Singapore,2025-07-03,True,Economy Class,Business,Business,Economy Class,,June 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,3,3,5,3,0
,,United Kingdom,2025-06-21,False,Economy Class,Boeing 777/A380,Solo Leisure,Economy Class,,June 2025,7/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Austria,2025-06-20,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,June 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Kuwait,2025-06-19,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,June 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-06-18,True,Business Class,Boeing 777-300,Solo Leisure,Business Class,,June 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,New Zealand,2025-06-17,False,Business Class,A380,Couple Leisure,Business Class,,June 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-06-17,True,Business Class,Boeing 773,Solo Leisure,Business Class,,June 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Germany,2025-06-12,True,Business Class,A320,Solo Leisure,Business Class,,June 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Netherlands,2025-06-11,True,Economy Class,Boeing 788,Solo Leisure,Economy Class,,June 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,United Kingdom,2025-06-07,True,Economy Class,Boeing 777 / 787,Family Leisure,Economy Class,,June 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Qatar,2025-06-05,True,First Class,Boeing 777,Family Leisure,First Class,,June 2025,7/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Australia,2025-05-29,True,Economy Class,A380-800,Solo Leisure,Economy Class,,May 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,New Zealand,2025-05-21,True,Economy Class,A350 / A380,Couple Leisure,Economy Class,,May 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,South Africa,2025-05-19,True,Economy Class,A350-900,Couple Leisure,Economy Class,,May 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United States,2025-05-02,False,Economy Class,Boeing 777,Solo Leisure,Economy Class,,April 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Greece,2025-05-01,True,Economy Class,A320 / Boeing 777-300ER,Family Leisure,Economy Class,,April 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Australia,2025-05-01,True,First Class,Couple Leisure,Couple Leisure,First Class,,April 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Singapore,2025-05-01,True,Economy Class,Business,Business,Economy Class,,January 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,Uzbekistan,2025-04-29,False,Economy Class,A320,Business,Economy Class,,April 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Qatar,2025-04-28,True,Business Class,Boeing 777-300,Couple Leisure,Business Class,,April 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Azerbaijan,2025-04-22,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,February 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,United Kingdom,2025-04-19,True,Business Class,A350-900,Business,Business Class,,December 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Australia,2025-04-19,True,Business Class,A 350-900,Solo Leisure,Business Class,,March 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,India,2025-04-18,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Qatar,2025-04-16,True,Business Class,A350-900,Family Leisure,Business Class,,April 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,United Arab Emirates,2025-04-13,True,Business Class,A350-900,Business,Business Class,,April 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Canada,2025-04-11,True,Business Class,Boeing 777,Solo Leisure,Business Class,,March 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Qatar,2025-04-08,True,Business Class,Boeing 777,Family Leisure,Business Class,,April 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Japan,2025-04-06,True,Economy Class,Various,Solo Leisure,Economy Class,,April 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,South Africa,2025-03-30,True,Business Class,Business,Business,Business Class,,March 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2025-03-27,False,Economy Class,Boeing 777 ,Solo Leisure,Economy Class,,July 2024,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,United States,2025-03-21,True,Economy Class,Boeing 777,Family Leisure,Economy Class,,March 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,India,2025-03-18,False,Economy Class,A350-900 / Boeing 737 Max8,Solo Leisure,Economy Class,,March 2025,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,India,2025-03-18,True,Economy Class,A350-900 / Boeing 737 Max8,Solo Leisure,Economy Class,,March 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,5,5,5,5,0
,,United States,2025-03-16,True,Business Class,Business,Business,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2025-03-16,True,Business Class,Business,Business,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United States,2025-03-16,True,Business Class,Business,Business,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United States,2025-03-15,True,First Class,Business,Business,First Class,,December 2024,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Thailand,2025-03-12,True,Economy Class,A350,Solo Leisure,Economy Class,,February 2025,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Thailand,2025-03-08,True,Economy Class,B773/A350,Solo Leisure,Economy Class,,March 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United States,2025-02-24,True,Business Class,Business,Business,Business Class,,February 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2025-02-24,True,Economy Class,A330,Solo Leisure,Economy Class,,February 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,Thailand,2025-02-18,True,Business Class,A350 / Boeing 777,Solo Leisure,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2025-02-18,True,Business Class,Couple Leisure,Couple Leisure,Business Class,,February 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,United States,2025-02-13,False,Economy Class,A350-1000,Family Leisure,Economy Class,,January 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2025-02-13,False,Economy Class,787-8,Family Leisure,Economy Class,,January 2025,7/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Iceland,2025-02-10,True,Business Class,A350-900,Solo Leisure,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Iceland,2025-02-10,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,February 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Thailand,2025-02-08,True,Business Class,A380,Solo Leisure,Business Class,,February 2025,7/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,5,5,5,5,0
,,United Kingdom,2025-02-08,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,February 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,Australia,2025-02-07,False,First Class,A380,Solo Leisure,First Class,,December 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Malaysia,2025-02-04,True,Business Class,A350-1000,Business,Business Class,,February 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Malaysia,2025-02-03,False,Economy Class,Boeing 777-300ER,Solo Leisure,Economy Class,,October 2024,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Canada,2025-01-28,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,January 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Denmark,2025-01-27,True,Business Class,Business,Business,Business Class,,January 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Saudi Arabia,2025-01-27,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,January 2025,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Iceland,2025-01-14,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,January 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Iceland,2025-01-14,True,Business Class,Boeing 787-9,Solo Leisure,Business Class,,January 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,France,2025-01-09,True,Economy Class,Boeing 777,Solo Leisure,Economy Class,,September 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Australia,2025-01-05,True,Economy Class,A350-900,Couple Leisure,Economy Class,,January 2025,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,Germany,2025-01-05,True,Business Class,Boeing 777-300ER,Family Leisure,Business Class,,January 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Germany,2025-01-02,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,January 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,France,2025-01-01,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,December 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Kuwait,2024-12-28,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,December 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Finland,2024-12-28,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,September 2024,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,China,2024-12-24,True,Economy Class,Boeing 777,Solo Leisure,Economy Class,,December 2024,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,Greece,2024-12-21,True,Economy Class,Boeing 787-9,Couple Leisure,Economy Class,,December 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2024-12-21,False,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,December 2024,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,Sweden,2024-12-15,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,December 2024,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Sweden,2024-12-14,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,November 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Sweden,2024-12-14,True,Business Class,Boeing 777-300ER,Solo Leisure,Business Class,,November 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Spain,2024-12-14,True,Business Class,Boeing 787,Business,Business Class,,January 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,5,5,5,5,0
,,Malaysia,2024-12-13,True,Economy Class,Boeing 777,Business,Economy Class,,December 2024,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,United States,2024-12-07,True,Economy Class,A350,Family Leisure,Economy Class,,December 2024,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Sweden,2024-12-02,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,November 2024,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,5,5,5,5,0
,,Australia,2024-11-30,True,Business Class,A330,Solo Leisure,Business Class,,November 2024,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Australia,2024-11-30,True,Business Class,A380,Solo Leisure,Business Class,,November 2024,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Russian Federation,2024-11-27,True,Business Class,A350,Solo Leisure,Business Class,,November 2024,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,United Kingdom,2024-11-26,True,Economy Class,Business,Business,Economy Class,,November 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2024-11-26,True,Economy Class,Boeing 777-300ER,Solo Leisure,Economy Class,,November 2024,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2024-11-25,True,Economy Class,A330,Solo Leisure,Economy Class,,November 2024,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2024-11-24,True,Economy Class,A350-900,Solo Leisure,Economy Class,,October 2024,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,United Kingdom,2024-11-23,True,Economy Class,Boeing 787,Solo Leisure,Economy Class,,October 2024,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Netherlands,2024-11-21,True,Economy Class,A350-900,Family Leisure,Economy Class,,August 2024,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,5,5,5,5,0
,,United Arab Emirates,2024-11-21,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,November 2024,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,5,5,5,5,0
,,Qatar,2024-11-17,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,November 2024,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,5,5,5,5,0
,,Spain,2024-11-16,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,October 2024,2/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,United States,2024-11-15,True,Business Class,B777,Business,Business Class,,November 2024,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,5,5,5,5,0
,,United States,2024-11-15,True,Economy Class,Boeing 777-300 ER,Solo Leisure,Economy Class,,November 2024,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,5,5,5,5,0
,,United States,2024-11-15,True,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,November 2024,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,5,5,5,5,0
,,India,2024-11-14,True,Economy Class,Boeing 777,Solo Leisure,Economy Class,,November 2024,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,5,5,5,5,0
