title,name,location,time,verified,review,aircraft_model,traveller_type,seat_type,route,date_flown,overal_rating,Seat_comfort_rating,cabin_staff,food_beverages_rating,inflight_entertainment_rating,ground_service_rating,value_for_money_rating,recommended
,,Germany,2026-01-14,True,Business Class,Boeing 787-8 / A380,Solo Leisure,Business Class,,December 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Portugal,2026-01-11,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,January 2026,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Austria,2026-01-11,True,Economy Class,A320 / A350-900,Family Leisure,Economy Class,,January 2026,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Thailand,2026-01-08,True,Economy Class,A380/B788,Solo Leisure,Economy Class,,December 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,United Kingdom,2026-01-06,True,Business Class,Boeing 777,Solo Leisure,Business Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Croatia,2026-01-01,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,December 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",,3,3,5,3,0
,,South Africa,2025-12-30,False,Business Class,Boeing 787-9 / A350-1000,Couple Leisure,Business Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Bahrain,2025-12-26,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Rwanda,2025-12-26,True,Economy Class,A350-900,Solo Leisure,Economy Class,,December 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Germany,2025-12-24,True,Economy Class,Boeing 787,Couple Leisure,Economy Class,,December 2025,7/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Iceland,2025-12-22,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Iceland,2025-12-22,True,Business Class,Boeing 787-8,Solo Leisure,Business Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United States,2025-12-17,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,December 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Australia,2025-12-17,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,November 2025,3/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",1.0,3,3,5,3,0
,,United Arab Emirates,2025-12-16,True,Business Class,A320 / Boeing 787-8,Couple Leisure,Business Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Brazil,2025-12-15,False,Economy Class,Boeing 787,Business,Economy Class,,December 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United States,2025-12-15,True,Economy Class,A350,Solo Leisure,Economy Class,,August 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Germany,2025-12-14,True,Economy Class,Boeing 787,Couple Leisure,Economy Class,,December 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,United States,2025-12-13,True,Business Class,Family Leisure,Family Leisure,Business Class,,October 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Australia,2025-12-09,True,Economy Class,Family Leisure,Family Leisure,Economy Class,,December 2025,4/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,3,3,5,3,0
,,United States,2025-12-07,True,Business Class,Boeing 777-300er,Solo Leisure,Business Class,,December 2025,5/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",2.0,3,3,5,3,0
,,United States,2025-12-05,True,Business Class,Boeing 777,Business,Business Class,,October 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,Taiwan,2025-12-03,True,Business Class,Solo Leisure,Solo Leisure,Business Class,,November 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Netherlands,2025-12-02,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,November 2025,1/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",3.0,3,3,5,3,0
,,Ireland,2025-11-25,False,Business Class,A350,Couple Leisure,Business Class,,November 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Australia,2025-11-24,False,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,November 2025,6/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-11-23,False,Economy Class,Couple Leisure,Couple Leisure,Economy Class,,November 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Qatar,2025-11-23,True,Business Class,Boeing 777-300ER,Solo Leisure,Business Class,,November 2025,8/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",4.0,3,3,5,3,0
,,United States,2025-11-19,True,Business Class,A350-1000,Couple Leisure,Business Class,,November 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Australia,2025-11-19,True,Economy Class,A350-900,Couple Leisure,Economy Class,,November 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,United States,2025-11-19,True,First Class,Boeing 787-8/A330-300,Couple Leisure,First Class,,November 2025,9/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
,,Germany,2025-11-17,True,Economy Class,Solo Leisure,Solo Leisure,Economy Class,,November 2025,10/10,"<td class=""review-rating-stars stars""><span class=""star fill"">1</span><span class=""star fill"">2</span><span class=""star fill"">3</span><span class=""star fill"">4</span><span class=""star fill"">5</span></td>",5.0,3,3,5,3,0
